I,gon,delta,delta2,delta2e7,sigma2e7,sigma,sigmai
3.6,2.8700097257,0,0,0,0,0.00002,0.1
3.4,2.8691952387,0.00081,6.63389047534934E-07,6.6339,0.0003,0.00002,0.1
3,2.8688752617,0.00113,0.000001287,12.8701,0.0005,0.00002,0.1
3.2,2.8690934278,0.00092,8.39601763286604E-07,8.396,0.0003,0.00002,0.1
2.8,2.8686813362,0.00133,1.76461862715218E-06,17.6462,0.0007,0.00002,0.1
2.6,2.8685843735,0.00143,2.03162895807637E-06,20.3163,0.0008,0.00002,0.1
2.4,2.8683565111,0.00165,2.73311868751495E-06,27.331,0.001,0.00002,0.1
2.2,2.8682643965,0.00175,3.04617419786671E-06,30.462,0.001,0.00002,0.1
1.8,2.8680510784,0.00196,3.8362991348697E-06,38.363,0.002,0.00002,0.1
1.6,2.8679250269,0.00208,0.000004346,43.46,0.002,0.00002,0.1
1.4,2.8677456458,0.00226,5.12605775184057E-06,51.261,0.002,0.00002,0.1
1.2,2.867575961,0.00243,5.92321051357385E-06,59.232,0.002,0.00002,0.1
1,2.8674450613,0.00256,6.57750334649176E-06,65.775,0.003,0.00002,0.1
